divipola5,anio,hurto_personas_total,hurto_vehiculos_total,hurto_residencias_total,hurto_comercio_total,capturas_total,homicidios_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,hurto_total,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,hurto_residencias_per_capita,hurto_comercio_per_capita,hurto_total_per_capita,capturas_per_capita,homicidios_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
68575,2009,8,1.0,4.0,5.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,,,,0,31502.0,2.5395213002349055,0.3174401625293632,1.2697606501174528,1.5872008126468162,5.7139229255285375,0.0,5.7139229255285375,0.0,0.0,0.0,0.0
68575,2010,14,9.0,20.0,17.0,22.0,13.0,45.0,5218.0,565.0,60.0,0.0,0.0,0.0,0.0,0.0,,,,0,31498.0,4.444726649311067,2.8573242745571146,6.349609499015811,5.39716807416344,19.04882849704743,6.984570448917392,4.127246174360277,14.286621372785575,0.0,0.0,0.0
68575,2011,3,5.0,10.0,6.0,17.0,7.0,25.0,29.0,1346.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,0,31492.0,0.9526228883525975,1.5877048139209957,3.1754096278419914,1.905245776705195,7.62098310682078,5.398196367331385,2.2227867394893943,7.938524069604979,0.0,0.0,0.0
68575,2012,14,4.0,10.0,22.0,23.0,6.0,108.0,17.0,1626.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,0,31503.0,4.444021204329746,1.2697203440942133,3.174300860235533,6.983461892518173,15.871504301177666,7.300891978541727,1.9045805161413198,34.28244929054376,0.0,0.0,0.0
68575,2013,18,9.0,14.0,14.0,14.0,7.0,116.0,2119.0,1898.0,55.0,0.0,0.0,0.0,0.0,0.0,,,,0,31507.0,5.713016155140128,2.856508077570064,4.443457009553432,4.443457009553432,17.456438251817055,4.443457009553432,2.221728504776716,36.817215222014156,0.0,0.0,0.0
68575,2014,2,4.0,3.0,3.0,29.0,8.0,51.0,36.0,2433.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,0,31514.0,0.6346385733324872,1.2692771466649744,0.9519578599987307,0.9519578599987307,3.807831439994923,9.202259313321063,2.5385542933299488,16.183283619978422,0.0,0.0,0.0
68575,2015,5,5.0,2.0,2.0,35.0,11.0,47.0,39.0,7242.0,14.0,0.0,0.0,0.0,0.0,0.0,,,,0,31511.0,1.5867474850052363,1.5867474850052363,0.6346989940020944,0.6346989940020944,4.442892958014662,11.107232395036656,3.4908444670115197,14.91542635904922,0.0,0.0,0.0
68575,2016,24,4.0,13.0,10.0,23.0,4.0,12.0,475.0,2703.0,51.0,0.0,0.0,0.0,0.0,0.0,,,,0,31510.0,7.616629641383687,1.2694382735639478,4.125674389082831,3.17359568390987,16.185337987940336,7.299270072992701,1.2694382735639478,3.8083148206918436,0.0,0.0,0.0
68575,2017,19,7.0,34.0,35.0,40.0,6.0,37.0,0.0,5389.0,95.0,0.0,0.0,0.0,0.0,0.0,,,,0,31501.0,6.031554553823688,2.2221516777245167,10.793308148947652,11.110758388622584,30.15777276911844,12.698009586997237,1.9047014380495857,11.745658867972447,0.0,0.0,0.0
68575,2018,28,13.0,34.0,33.0,39.0,4.0,26.0,1.0,589.0,108.0,0.0,0.0,0.0,0.0,0.0,,,,0,31505.0,8.887478178066972,4.126329154102524,10.791937787652753,10.47452785272179,34.28027297254404,12.37898746230757,1.2696397397238535,8.252658308205048,0.0,0.0,0.0
68575,2019,43,19.0,31.0,39.0,55.0,10.0,35.0,256.0,2713.0,132.0,0.0,0.0,0.0,0.0,0.0,,,,0,31509.0,13.646894538068487,6.03002316798375,9.83845885302612,12.377415976387699,41.89279253546605,17.455330223110856,3.173696404201974,11.10793741470691,0.0,0.0,0.0
